simulation_id,final_value
551,4687996.7989583425
552,1799099.1286521067
553,4072816.3170767473
554,616628.1066196964
555,1490234.7662797975
556,2578487.6569583816
557,5341207.7489981195
558,1956134.6983492645
559,4870125.833151124
560,2009667.9455084254
561,3896940.0227975766
562,2045055.2461733066
563,1213621.3022166006
564,4989391.422467378
565,1936635.3875013085
566,945946.5948539778
567,2574861.77908588
568,4934908.506403949
569,14020675.963232318
570,2769117.1305079386
571,2803429.5454232283
572,1678056.1587056722
573,3145222.5553622427
574,3267265.635589312
575,1615775.8393652525
576,1481861.0218911797
577,5491355.498510056
578,6450434.254455765
579,2062734.1710389713
580,2110769.171975636
581,2051971.6360176606
582,3075876.0515537304
583,2715477.810199925
584,4326262.560764456
585,5893398.755811076
586,3708154.575115393
587,753094.5803446835
588,1184108.1829724633
589,1667232.1162842505
590,1362916.0857214797
591,1958968.3368009718
592,2977953.161036632
593,2430458.1390536595
594,5031315.879378064
595,2348119.607039816
596,2622791.67045298
597,4096360.905071967
598,1161602.9898810147
599,3923982.859612373
600,3512848.5370466253
601,1298084.7027568861
602,2439942.0180462897
603,2347201.316622684
604,1392743.8775237475
605,677681.5289099005
606,2730957.9629374403
607,4330363.606473198
608,1773968.641171302
609,2425755.5969283627
610,6608207.513992059
611,7021775.523548149
612,3864913.2831870373
613,573985.5003695205
614,3417925.846051963
615,3004699.439726109
616,3574743.318018096
617,6836873.037513735
618,1161090.9351533193
619,3860515.8082677866
620,6443905.562462659
621,2151591.9470381765
622,7938719.023949798
623,1938245.8761289162
624,5096207.9803121155
625,2171750.9350799797
626,1896058.4278607948
627,1536263.7797242794
628,4814165.858919943
629,1015060.1073527713
630,1247792.243922863
631,2042384.5753617682
632,7388333.664129008
633,1136501.0396070008
634,1809829.3552599542
635,1188005.3097054018
636,2681828.1881220913
637,3310449.7161410167
638,3360365.1257575946
639,2464454.2579620886
640,4185631.1132590077
641,3252798.235083994
642,5989254.056996125
643,1288319.8238182366
644,1818464.0007883226
645,592534.5840613481
646,2482523.7252405183
647,1618028.9933917574
648,2254921.995896294
649,3630607.57809526
650,2583845.021668404
651,2508955.474032221
652,5356722.605659405
653,7006783.758504699
654,1081335.4380978968
655,3746811.900196506
